#,Subjects,Start date,Close Date
20829,Holder name displayed is invalid in sell,20-Jul-21,18-Aug-21
20813,When editing SIP scheme start date should display T+22 date on cart page ,20-Jul-21,20-Jul-21
20811,Tooltip is not displayed properly for SIP today - Pilot ,20-Jul-21,20-Jul-21
20767,New investor pan is displayed as ZBF pan ,19-Jul-21,22-Jul-21
20666,text not display correctly on cart,17-Jul-21,20-Jul-21
20301,Folio numbers don't match on stp,13-Jul-21,02-Aug-21
20285,Existing RIA  option is displayed for newly created folio ,13-Jul-21,17-Jul-21
20204,Options are not displayed on create on new folio - Fatca page ,12-Jul-21,12-Jul-21
20101,Cart page does not display bank - Pilot ,08-Jul-21,12-Jul-21
20099,Data points displayed on Pilot are invalid ,08-Jul-21,19-Jul-21
20075,New user's data is prefilled on personal details page ,07-Jul-21,20-Jul-21
20044,Holder name is not displayed - for new funds tab ,07-Jul-21,20-Oct-21
20036,Create new folio - Personal details page ,07-Jul-21,13-Jul-21
20004,Scheme name can be reset when switching transaction types ,06-Jul-21,21-Oct-21
20000,Switch - Error message is displayed before every transaction performed ,06-Jul-21,08-Jul-21
19948,Switch page - Available units text is not displayed ,06-Jul-21,08-Jul-21
19946,Scheme names are displayed multiple times - Pilot on sip ,06-Jul-21,13-Jul-21
19945,Data points are not displayed for transaction pages for stp,06-Jul-21,25-Aug-21
19943,Lumpsum cashflow - Multi asset fund ,06-Jul-21,17-Jul-21
19936,Holding type - All transaction pages ,06-Jul-21,26-Aug-21
19931,Lumpsum cashflow - Payment modes ,06-Jul-21,13-Jul-21
19930,Holder name and scheme details not display,06-Jul-21,09-Sep-21
19929,Lumpsum cashflow (Pilot) - Displays no payment modes ,06-Jul-21,17-Jul-21
19899,folio creation page not display,06-Jul-21,13-Jul-21
19897,Quick buy page,06-Jul-21,08-Jul-21
19885,"Lumpsum cashflow page - Displays ""tick"" mark when clicked on Cashflow toggle button",06-Jul-21,
17223,Selected folio number not displayed in holder name dropdown-Pilot,03-Jun-21,18-Aug-21
17215,UPI payment mode is not displayed for only lumpsum transaction,02-Jun-21,26-Jul-21
17201, Create new folio ,02-Jun-21,
17138,Asset allocation - Dashboard ,01-Jun-21,06-Aug-21
17075,No scheme is displayed in cart for pan number - AINPB3364D / AFEPC8725R,01-Jun-21,18-Aug-21
17074,Risk not displayed for NFO funds - Pilot,01-Jun-21,25-Aug-21
17042,Distributor code not displayed for STP,31-May-21,12-Aug-21
17039,Scheme deletion on cart for stp ,31-May-21,
17035,Holder name is not displayed for any of the transaction pages ,31-May-21,17-Jul-21
17033,Asset allocation - Total gain / loss ,31-May-21,
17018,SIP today message ,31-May-21,07-Jul-21
17015,In scheme name Growth word is repeated - UAT,31-May-21,27-Aug-21
17013,"In tnc, KIM and disclaimer word should be clickable-UAT",31-May-21,21-Aug-21
17012,"In tnc, KIM and disclaimer word should be clickable-Pilot",31-May-21,17-Aug-21
17011,100% value is displayed in asset allocation total gain /loss ,31-May-21,12-Jul-21
17003,ZBF - Capital gain /loss report,29-May-21,20-Jul-21
17000,Create new folio - mode of holding ,29-May-21,12-Oct-21
16996,Distributor option should be aligned properly ,29-May-21,08-Jul-21
16994,Login text ,29-May-21,01-Jun-21
16993,ZBF folio ,29-May-21,18-Aug-21
16970,Regular schemes are displayed in Direct cart on review and checkout page ,29-May-21,13-Jul-21
16967,"Risk "" i "" icon is missing on transaction pages",29-May-21,22-Jul-21
16966,Distributor details option not available for pan number : AFEPC8725R,29-May-21,13-Jul-21
16963,Basket page for stp,29-May-21,08-Jul-21
16951,Data issue for a pan number : AFEPC8725R / AINPB3346D / ,28-May-21,01-Sep-21
16940,ZBF menus should be displayed for new investor,28-May-21,20-Jul-21
16935,Create new folio error for sell ,28-May-21,12-Jul-21
16913,verification of annual returns and in process activity - Pilot,28-May-21,
16843,Dummy data is displayed for day gain value in dashboard ,28-May-21,08-Jul-21
16778,Units values displayed are incorrect ,27-May-21,13-Jul-21
16775,Asset allocation and Portfolio details view ,27-May-21,17-Jul-21
16726,Lumpsum cashflow - Frequency Error,27-May-21,28-May-21
16665,NAV values after decimal should be 4 digits ,27-May-21,01-Jun-21
16646,UI  issue for transaction pages ,26-May-21,20-Aug-21
16639,Folio and mode of holding is not prefilled when redirected from dashboard ,26-May-21,31-May-21
16637,Upcoming SIP,26-May-21,08-Jul-21
16571,Tooltip for in process activity ,26-May-21,17-Jul-21
16557,Risk factor ,25-May-21,26-Aug-21
